longitude,latitude,time,
-90.12887323,38.85788444,2024-12-30 04:23:00,
-90.12864542,38.85776752,2024-12-30 04:31:00,
-90.12804825,38.85744333,2024-12-30 05:00:00,
-90.12844228,38.85765758,2024-12-30 05:11:00,
-90.12858705,38.85777676,2024-12-30 05:20:00,
-90.12843517,38.85763035,2024-12-30 05:23:00,
-90.12864394,38.85773592,2024-12-30 05:27:00,
-90.12865237,38.85777266,2024-12-30 05:34:00,
-90.12832147,38.85759478,2024-12-30 05:52:00,
-90.12867533,38.85777479,2024-12-30 06:07:00,
-90.1284292,38.85768754,2024-12-30 06:24:00,
-90.12842333,38.85764514,2024-12-30 06:27:00,
-90.12876766,38.85781997,2024-12-30 06:32:00,
-90.12836311,38.85764177,2024-12-30 06:37:00,
-90.12851027,38.85770354,2024-12-30 06:49:00,
-90.12809954,38.85749322,2024-12-30 06:50:00,
-90.12848092,38.85769787,2024-12-30 06:51:00,
-90.12852901,38.8577497,2024-12-30 07:19:00,
-90.12867789,38.85777091,2024-12-30 07:27:00,
-90.1286176,38.85771525,2024-12-30 08:10:00,
-90.12886802,38.85778778,2024-12-30 08:17:00,
-90.12885913,38.85782776,2024-12-30 08:37:00,
-90.12901616,38.85811565,2024-12-30 08:49:00,
-90.12882551,38.858084,2024-12-30 08:57:00,
-90.12900276,38.85815797,2024-12-30 08:58:00,
-90.12882274,38.85814748,2024-12-30 09:01:00,
-90.12912548,38.85830541,2024-12-30 09:10:00,
-90.13077445,38.85877116,2024-12-30 11:31:00,
-90.13081236,38.85861367,2024-12-30 11:33:00,
-90.1308521,38.85859937,2024-12-30 11:36:00,
-90.13102088,38.85852989,2024-12-30 11:41:00,
-90.13105603,38.85852172,2024-12-30 11:43:00,
-90.13109748,38.85842885,2024-12-30 11:45:00,
-90.13118351,38.85833769,2024-12-30 11:46:00,
-90.13116465,38.85831809,2024-12-30 11:48:00,
-90.13114615,38.85830222,2024-12-30 11:49:00,
-90.13118632,38.85834562,2024-12-30 11:49:00,
-90.13118106,38.85834168,2024-12-30 11:50:00,
-90.13116415,38.85832141,2024-12-30 11:52:00,
-90.13119837,38.85834525,2024-12-30 11:53:00,
-90.13120247,38.85827034,2024-12-30 11:53:00,
-90.13107617,38.85797342,2024-12-30 12:04:00,
-90.13108127,38.85798322,2024-12-30 12:05:00,
-90.13105067,38.85796571,2024-12-30 12:09:00,
-90.13106856,38.85801107,2024-12-30 12:10:00,
-90.13106412,38.8580096,2024-12-30 12:14:00,
-90.13100503,38.85797398,2024-12-30 12:20:00,
-90.13101268,38.85796399,2024-12-30 12:22:00,
-90.13104271,38.85798669,2024-12-30 12:26:00,
-90.13103575,38.858048,2024-12-30 12:32:00,
-90.13098368,38.85795302,2024-12-30 12:39:00,
-90.13094198,38.8579113,2024-12-30 12:40:00,
-90.13097919,38.85794739,2024-12-30 12:41:00,
-90.13098017,38.8579437,2024-12-30 12:42:00,
-90.13094187,38.85790993,2024-12-30 12:45:00,
